RAW DATA,lables
What ifs,Non technical
seniority,Non technical
familiarity,Non technical
functionalities,Non technical
Lambdas,Non technical
Java Streams,technical
Object Oriented analysis,technical
Relational Databases,Non technical
SQL,technical
ORM,Non technical
JPA2,Non technical
Hibernate,Non technical
MyBatis,Non technical
Hibernate,Non technical
code versioning tools,technical
Git.. Familiarity,technical
Maven,Non technical
Gradle.. Familiarity,Non technical
continuous integration,technical
continuous delivery development processes,technical
jenkins,Non technical
bamboo,Non technical
Familiarity,Non technical
frameworks,technical
transformations,Non technical
analytical reporting,technical
conceptual data models,technical
standard naming conventions,technical
coding practices,Non technical
consistency,Non technical
optimized solutions,Non technical
methodologies,Non technical
high throughput data access services,technical
analyze/profile data,technical
"conceptual, logical & physical data model designs",technical
reporting and analytics solutions,technical
physical databases,technical
variances,Non technical
discrepancies,Non technical
all phases,Non technical
integrations,technical
Demonstrable experience,technical
logical and physical data models,technical
interpersonal skills,Non technical
modern enterprise data architectures,technical
data toolsets,technical
e.g.: data warehouse,technical
data marts,technical
modeling tools,technical
profiling tools,technical
Bachelor or Master degree,technical
STEM majors,Non technical
Strong algorithms,Non technical
coding background,Non technical
either Java,technical
Python,technical
Scala programming experience,technical
Exceptional proficiency,Non technical
SQL,technical
each following distributed technologies,technical
  Relational Stores,Non technical
i.e. Postgres,Non technical
MySQL,technical
Oracle,technical
NoSQL Stores,technical
(i.e. Big Query,technical
Clickhouse,Non technical
Distributed Processing Engines,technical
i.e. Apache Spark,technical
Apache Flink,technical
Celery,Non technical
Distributed Queues,Non technical
i.e. Apache Kafka,technical
AWS Kinesis,technical
GCP PusSub,technical
standard methodologies,technical
GCP,technical
Azure,technical
AWS,technical
similar cloud platform technologies,technical
persuasion,Non technical
experience building cloud environments,technical
Excellent Unix/Linux experience and programming experience,technical
scripting,Non technical
"python, shell",technical
IPC mechanisms,Non technical
TCP/IP,Non technical
Kafka,Non technical
zmq,Non technical
grpc,Non technical
microservice architecture,technical
orchestration,technical
docker,Non technical
kubernetes,technical
cloud environments,technical
etcd,Non technical
service meshes,technical
envoy,Non technical
vault,technical
API gateways,technical
load balancers,Non technical
